Timestamp,Voltage [uV]
2018/04/02 03:00:05 +0000,8362800
2018/04/02 03:04:05 +0000,8362800
2018/04/02 03:08:05 +0000,8362800
2018/04/02 03:12:04 +0000,8362800
2018/04/02 03:16:05 +0000,8362800
2018/04/02 03:20:05 +0000,8362800
2018/04/02 03:24:05 +0000,8362800
2018/04/02 03:28:04 +0000,8362800
2018/04/02 03:32:05 +0000,8362800
2018/04/02 03:36:04 +0000,8362800
2018/04/02 03:40:05 +0000,8362800
2018/04/02 03:44:04 +0000,8362800
2018/04/02 03:48:05 +0000,8362800
2018/04/02 03:52:04 +0000,8362800
2018/04/02 03:56:05 +0000,8362800
2018/04/02 04:00:04 +0000,8362800
2018/04/02 04:04:05 +0000,8362800
2018/04/02 04:08:05 +0000,8362800
2018/04/02 04:12:04 +0000,8362800
2018/04/02 04:16:05 +0000,8362800
2018/04/02 04:20:04 +0000,8362800
2018/04/02 04:24:05 +0000,8362800
2018/04/02 04:28:04 +0000,8362800
2018/04/02 04:32:05 +0000,8362800
2018/04/02 04:36:05 +0000,8362800
2018/04/02 04:40:05 +0000,8362800
2018/04/02 04:44:05 +0000,8362800
2018/04/02 04:48:05 +0000,8362800
2018/04/02 04:52:05 +0000,8362800
2018/04/02 04:56:04 +0000,8362800
2018/04/02 05:00:05 +0000,8362800
2018/04/02 05:04:05 +0000,8362800
2018/04/02 05:08:05 +0000,8362800
2018/04/02 05:12:05 +0000,8362800
2018/04/02 05:16:05 +0000,8362800
2018/04/02 05:20:05 +0000,8362800
2018/04/02 05:24:05 +0000,8362800
2018/04/02 05:28:05 +0000,8362800
2018/04/02 05:32:05 +0000,8362800
2018/04/02 05:36:05 +0000,8362800
2018/04/02 05:40:05 +0000,8362800
2018/04/02 05:44:05 +0000,8362800
2018/04/02 05:48:05 +0000,8362800
2018/04/02 05:52:04 +0000,8362800
2018/04/02 05:56:05 +0000,8362800
2018/04/02 06:00:05 +0000,8362800
2018/04/02 06:04:05 +0000,8362800
2018/04/02 06:08:05 +0000,8362800
2018/04/02 06:12:05 +0000,8362800
2018/04/02 06:16:05 +0000,8362800
2018/04/02 06:20:05 +0000,8362800
2018/04/02 06:24:05 +0000,8334800
